Date,Minimum Temperature,Maximum Temperature,Average Temperature,Relative Humidity(%),Precipitation,Visibility (in miles),Cloud Cover (%),Conditions
01/01/2020,50.0,69.9,59.6,48.56,0.0,9.5,0.0,Clear
01/02/2020,51.2,69.0,58.9,69.55,0.0,8.7,7.1,Clear
01/03/2020,51.9,74.7,61.3,52.48,0.0,9.8,0.0,Clear
01/04/2020,49.9,70.9,58.7,63.4,0.0,8.7,0.0,Clear
01/05/2020,48.8,70.9,58.3,59.24,0.0,9.3,0.0,Clear
01/06/2020,47.9,78.3,62.8,34.88,0.0,9.9,0.0,Clear
01/07/2020,56.0,78.7,63.9,32.35,0.0,9.9,0.0,Clear
01/08/2020,53.0,64.9,58.0,68.0,0.0,9.4,21.6,Clear
01/09/2020,52.1,62.8,57.4,57.82,0.0,9.4,45.1,Partially cloudy
01/10/2020,47.9,65.9,56.1,61.6,0.0,9.9,0.0,Clear
01/11/2020,46.2,64.9,55.2,67.35,0.0,9.5,26.9,Partially cloudy
01/12/2020,51.0,64.9,56.6,64.89,0.0,9.1,17.2,Clear
01/13/2020,48.9,64.9,56.6,66.48,0.0,7.9,30.5,Partially cloudy
01/14/2020,47.9,64.0,55.5,68.08,0.0,8.3,8.4,Clear
01/15/2020,47.9,66.6,55.7,67.28,0.0,5.9,0.0,Clear
01/16/2020,50.0,61.9,55.8,68.01,0.07,5.5,71.3,"Rain, Partially cloudy"
01/17/2020,48.8,64.0,55.5,69.93,0.18,9.4,14.9,Rain
01/18/2020,49.9,73.0,60.1,40.48,0.0,9.9,0.0,Clear
01/19/2020,53.9,76.8,63.3,34.06,0.0,9.9,0.0,Clear
01/20/2020,56.9,64.9,60.7,64.03,0.0,9.8,41.3,Partially cloudy
01/21/2020,55.1,64.9,59.7,70.67,0.02,9.9,51.6,"Rain, Partially cloudy"
01/22/2020,52.0,65.8,58.4,68.49,0.0,9.0,1.1,Clear
01/23/2020,52.0,75.6,61.9,63.73,0.0,9.3,0.0,Clear
01/24/2020,53.0,74.8,61.7,63.71,0.0,8.8,11.3,Clear
01/25/2020,53.9,70.8,59.3,75.72,0.0,2.8,34.5,Partially cloudy
01/26/2020,56.9,63.0,59.2,72.72,0.0,3.8,77.0,Overcast
01/27/2020,53.0,71.7,61.8,58.66,0.0,6.5,3.1,Clear
01/28/2020,55.9,75.7,65.3,34.85,0.0,9.8,0.0,Clear
01/29/2020,60.1,77.0,67.7,23.85,0.0,9.9,0.0,Clear
01/30/2020,53.0,74.8,63.4,28.58,0.0,9.9,0.0,Clear
01/31/2020,51.2,82.9,65.4,36.44,0.0,9.9,0.0,Clear
02/01/2020,55.3,84.5,68.8,32.85,0.0,9.9,0.0,Clear
02/02/2020,55.0,70.8,62.9,51.06,0.0,9.9,20.5,Clear
